nr,bid,brewery,name,kind,link,abv,ibu,rating,nr_raters,adding_date,text,malt,hops,chocolate,german,banana,vanilla,caramel,yeast,fruit,whiskey,rhum,alcohol,gluten,barrel,rye,barley,cocoa,small/lower,big/upper,Altbier,Barleywine,Blonde,Duppel,Quadrupel,Tripel,Cider,Fruit,IPA,Kölsch,Lager,Non-Alcoholic,Pilsner,Porter,Wheat,Sour,Stout,Ale,Other
56,5586581,Mad Scientist,Bonfires Burning Bright,Barleywine - American,https://untappd.com/b/mad-scientist-bonfires-burning-bright/5586581,9.0,N/A,4.02,309,10/30/23,"MAD SCIENTIST BARREL PROJECT Martinique Rum Barrel Aged Barley Wine With Caramel, Pumpkin And Pumpkin Spice Blend CELLAR MASTER NOTES“Build a man a fire, and he'll be warm for a day. Set a man on fire, and he'll be warm for the rest of his life.”Oh, dang, here we go again with a special blend that started out as a one-time-keg-only drop. But since we're going down this way, we got a decent amount of superb quality pumpkin and spiced up the season with this sweet, caramelly, woody, bit vegetal craziness in bottles as well. The Martinique rum barrel itself gave much spiciness, but the kind of misfits we are, we totally embrace the “a little more can't hurt” philosophy. So just treat yourself and taste our non-typical festive release before the lights go out. ",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,5798905,Mad Scientist,Mr. Wonderful,Barleywine - American,https://untappd.com/b/mad-scientist-mr-wonderful/5798905,10.2,N/A,4.01,257,04/22/24,"MAD SCIENTIST BARREL PROJECTRye Bourbon Barrel-Aged Caramel Barleywine With Pistachios, Orange And Lemon Zests, VanillaCELLAR MASTER NOTES""Why you think I'm out here actin' crazy?""Our brand new creation is rising high with the flavors of the baklava, the galaxy’s most beloved dessert. A massively caramelly sweetness as a backbone shows the mild spiciness of rye and oak, while the dominating tasting note comes from the roasted pistachios, nicely balanced out by the citrus zests, so the final product won't be too sticky. Already thinking about another version focusing more on the chocolaty notes... Who knows? Life is crazy. ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,4289754,Mad Scientist,Liquid Florentine,Barleywine - American,https://untappd.com/b/mad-scientist-liquid-florentine/4289754,12.0,N/A,3.94,186,04/30/21,"MAD SCIENTIST BARREL PROJECTBarley Wine aged in Bourbon Barrel with hand-roasted Almond, Orange, Cocoa Beans, Orange Zest and SaltCELLAR MASTER NOTESMirror mirror on the wall, give Florentine to all!This time it seems like we managed to create the universal cookie beer because, despite Florentine being the main inspiration, every single one of us in the brewery was reminded of a different sweet treat after tasting: fruit bread, orange sponge cake, Sacher-cake, Túró Rudi (just Google this curd snack), you know the drill. What's for sure is that we've added a copious amount of hand-roasted almond as a backbone, hit on the taste and created acidity with orange, used the bitter greatness of cocoa and rounded it up with a hint of salt. The result can hardly be described in a written form, but if you are into pastry-inspired but not overwhelmingly sweet beers, this one will eat you alive. ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,3617330,Mad Scientist,Bourbon & Bourbon,Barleywine - American,https://untappd.com/b/mad-scientist-bourbon-and-bourbon/3617330,13.5,N/A,3.9,163,01/07/20,"MAD SCIENTIST BARREL PROJECT Bourbon Whiskey barrel aged barleywine with Bourbon barrel aged coffee and maple syrup CELLAR MASTER NOTES This beer is special due to the addition of Bourbon Barrel aged coffee. This is the first release, where the inspiration didn't come from the base beer, nor the barrel, but the extra addition. Beer and barrel were selected after choosing the Bourbon BA coffee. The nose and taste are dominated by the fruity notes of lightly roasted coffee complemented by cinnamon and caramel notes of the maple syrup barlywine and Bourbon barrel. ",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,3520686,MONYO Brewing Co.,Franky (2019),Barleywine - English,https://untappd.com/b/monyo-brewing-co-franky-2019/3520686,11.5,N/A,3.88,735,11/08/19,"Barley wine-unk, a Franky 2019-es évjárata. A stílusra jellemző komplex és intenzív malátás jegyek jellemzik, valamint nagy test és viszkózus kortyérzet. Ízében és illatában a dió, a melasz és az aszalt gyümölcsök dominálnak, de melegítés hatására előbújnak a juharszirupos-karamellás aromák is. Kiváló téli sör, magas érlelési potenciállal.-----The vintage 2019 version of our barley wine, Franky. Full-bodied with a viscous mouthfeel. Complex maltiness, with notes of dried fruits, walnut, maple syrup and molasses. Perfect for the winter season. Cellarable. ",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,4222515,Mad Scientist,Walrus 2: The Revenge Of The 'Nuss,Barleywine - Other,https://untappd.com/b/mad-scientist-walrus-2-the-revenge-of-the-nuss/4222515,13.0,N/A,4.04,430,03/15/21,"MAD SCIENTIST BARREL PROJECTA blend of Four Roses and Knob Creek Rye bourbon barrel-aged barley wines with in house-roasted walnut and vanillaCELLAR MASTER NOTESThe Walrus is back in town and this time he totally GOES NUTSWhen we experimented with 'I am The Walnut' a decision was made that besides the beast we have to create his evil twin: a darker, older, but still gentle brother. So we put tons and tons of hand-roasted walnuts into two different barrels of barley wine and rounded it up with vanilla. A sequel from an alternative universe! As a result, this bad boy has the chocolaty-nutty notes of walnut, that go just perfectly with the woody-spicy bourbon feel. And yes, you can say it's boring to say this (again), but in our opinion, this is our best one so far: revenge has never tasted this good! Like a good-old VHS blockbuster, you want to check it again, again and again. ",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,4036586,Mad Scientist,I Am the Walnut,Barleywine - Other,https://untappd.com/b/mad-scientist-i-am-the-walnut/4036586,12.5,N/A,3.97,177,11/02/20,"MAD SCIENTIST BARREL PROJECTJamaican rum barrel-aged barleywine with walnut, mahlep and tonka beansCELLAR MASTER NOTESIf you search carefully you may find traces of beer in this liquid walnut syrup.We experimented a lot with spice additions while working on this release to find the perfect combination. Finally, the interplay of walnut, tonka and mahlep came out as the winner combo.Yes, I know your question and the answer is: mahlep is an aromatic spice made from the seeds of a species of cherry providing the characteristics of bitter almond, cherry and marzipan. These notes perfectly match with the deep-woody walnut savors and the vibrating spiciness of tonka that strengthens up the presence of barrel-inflicted flavors. ",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,5809774,Mad Scientist,Tiny Barrel Project Old King Clancy Bourbon,Barleywine - Other,https://untappd.com/b/mad-scientist-tiny-barrel-project-old-king-clancy-bourbon/5809774,10.2,N/A,3.97,514,05/01/24,"From OLD KING CLANCY 2017 Maple Syrup Barleywine to OLD KING CLANCY 2022 Maple Syrup Barleywine, here's TINY BARREL PROJECT OLD KING CLANCY BOURBON Clermont Springs Bourbon Barrel Aged Barleywine with our friends TEYFÖL (Szentendre, Hungary) Bistro Here's our 7th TINY BARREL PROJECT release (and the 2nd in 2024) within our recently introduced category between the Specials series and Barrel Project in 330ml cans, dropping on the 10th of May, 2024 celebrating TEYFÖL's 1st Birthday! ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,6272908,Mad Scientist,Mayhem Of Mash,Barleywine - Other,https://untappd.com/b/mad-scientist-mayhem-of-mash/6272908,12.0,N/A,3.96,406,05/21/25,"MAD SCIENTIST BARREL PROJECT collab with our old friend Mario from Bådin Bryggeri (NO)A Blend Of Bourbon Barrel-aged Caramel Barleywine And Tokaji Aszú Sweet Wine Barrel-aged RyewineCELLAR MASTER NOTESMadness? We eat mayhem for breakfast!Although we are big fans of blending barrels and beer styles, this one is a first, even for us. It’s also our debut collab with our friends at Bådin, and we went all in. We started with a highly aromatic, slightly dry ryewine aged in Hungarian Tokaji Aszú barrels as our thesis. Then we brought in the antithesis, a bold, sweet, toffee-laced barleywine straight out of a bourbon barrel. The result? A synthesis that’s not overwhelmingly sweet, but rich, spicy, and biscuit-like, with layers to get lost in. Oh, and it contains a nice mixture of grains as barley, rye, and oat, so don't worry about the 12%, technically, it still qualifies as breakfast granola. ",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,5243924,Mad Scientist,Old King Clancy 2022,Barleywine - Other,https://untappd.com/b/mad-scientist-old-king-clancy-2022/5243924,10.5,N/A,3.92,1671,02/19/23,Maple Syrup Barleywine ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
