nr,bid,brewery,name,kind,link,abv,ibu,rating,nr_raters,adding_date,text,country,malt,hops,chocolate,german,banana,vanilla,caramel,yeast,fruit,whiskey,rhum,alcohol,gluten,barrel,rye,barley,cocoa,small/lower,big/upper,Altbier,Barleywine,Blonde,Duppel,Quadrupel,Tripel,Cider,Fruit,IPA,Kölsch,Lager,Non-Alcoholic,Pilsner,Porter,Wheat,Sour,Stout,Ale,Other
0,4061662,Dogma Brewery,ROLA-BOLA,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/dogma-brewery-rola-bola/4061662,8.0,25,3.99,2707,11/20/20,"ROLA-BOLA is a guy from a Circus. And not any circus. He's the third one from The Hoppy Circus Carnival which came to our city. Collab with our brother Maskeron is bringing this Double NE IPA with full & silky body and a lots of tropicals in aroma and flavour. Balancing with pineapple, vanilla and coconut notes, this beer is a real circus!   ",serbia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,4422659,Dogma Brewery,5th Anniversary Beer #5 - Triple NEIPA,IPA - Triple New England / Hazy,https://untappd.com/b/dogma-brewery-5th-anniversary-beer-5-triple-neipa/4422659,9.0,N/A,3.99,628,07/22/21,"5 BEERS FOR 5 YEARS! #5 in our 5th Anniversary Beer edition - all in at the end. One of the most popular NEIPA styles. Yes it's maybe hot for 9% and bunch of hops, but it's our birthday! ",serbia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,5291872,3bir,Nitrox Triple Neipa,IPA - Triple New England / Hazy,https://untappd.com/b/3bir-nitrox-triple-neipa/5291872,8.7,60,3.96,242,03/27/23, ,serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,5786009,Dogma Brewery,Fantastic Four,Sour - Smoothie / Pastry,https://untappd.com/b/dogma-brewery-fantastic-four/5786009,5.5,N/A,3.95,296,04/12/24,"Birthday celebration special for our friends from Beer Sheep. We don't brew smoothies & pastries and we will never do ordinarly, but for friends you need to create whatever they like. Long Live Beer Sheep, the best beer shop in Belgrade!  ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,4566772,Docker Brewery,Brain Blocker,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/docker-brewery-brain-blocker/4566772,8.0,N/A,3.94,1386,10/27/21,"Brain Blocker je potreba da ovo vreme ucinimo laksim. Pitkoca standardne NeIpe uz ne tako naivnih 8% alk. Double NeIpa duplo hmeljena Idaho, Eldorado, Citra i Mozaic hmeljevima. ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,5654364,Dogma Brewery,The Worst Beer Geek Ever,IPA - New England / Hazy,https://untappd.com/b/dogma-brewery-the-worst-beer-geek-ever/5654364,6.5,30,3.94,422,12/22/23,He's Rangel. He's our Bulgarian brother and the main and only guy behind Dogma Brewery Bulgaria project. Recently he became a gypsy brewer thru his new project Bad Manners Gypsy Brewing Co. And all of that is cool. But he is still THE WORST BEER GEEK EVER. We brewed this super juicy IPA which was triple dry hopped. We've bringing you orange. Squeeze it & enjoy! ,serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,4918534,Dogma Brewery,Serbian Barrels Series No. 1 - Imperial Stout,Stout - Imperial / Double,https://untappd.com/b/dogma-brewery-serbian-barrels-series-no-1-imperial-stout/4918534,11.5,20,3.93,681,07/05/22,"No. 1 in our, worldwide unique barrel aging series - SERBIAN BARRELS SERIES! We're using only Serbian barrels & here we have an Imperial Stout with cardamom & cocoa nibs, aged over a year in 26 (now 27!) old Serbian Vinjak (Cognac) barrels. Prepare the senses & enjoy!  ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,1703270,Kabinet Brewery,02 Kolaboracija Caramel Stout,Stout - Imperial / Double,https://untappd.com/b/kabinet-brewery-02-kolaboracija-caramel-stout/1703270,10.0,N/A,3.93,1405,08/25/16,Caramel stout aged for 6 months in oak barrels of the famous Arkanj brandy (Calvados) made by the Kovilj Monastery. For three years in Top 50 stouts of the world. Best beer in Serbia by Ratebeer. ,serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,5617963,Dogma Brewery,Bon Baisers De Belgrade,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/dogma-brewery-bon-baisers-de-belgrade/5617963,7.4,30,3.93,589,11/24/23,We met our Zythologist friends in Bruge. After that they came to Belgrade and here we are - sending all the love and kisses from Belgrade! Thru this super juice DIPA boosted with Citra & Talus... Enjoy our friend! ,serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,3917223,Dogma Brewery,Juice It Up!,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/dogma-brewery-juice-it-up/3917223,8.0,45,3.92,4550,08/13/20,"Juice it up! Just juice it up! Give me more. Just give me more! This DDH DIPA got a flavour from CItra Incognito and aroma of El Dorado, Citra and Mosaic. It's juicy & and it bringht you more. Of everything!  ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
