beer_text,brewery,beer
"beer kind: Stout - Imperial / Double |description: Pro naše kakaovo-vanilkové barelové pivo jsme vytvořili blend z 18 měsíců stařených stoutů z bourbonových sudů s jemnějším charakterem, které slouží jako základ pro přídavek kakaa, kakaových bobů a vanilky. Vzniká tak velmi hřejivý zážitek s komplexní chutí, která se skvěle pojí s dřevitým charakterem sudů.For our cocoa-vanilla barrel-aged beer we blended several of our 18 months bourbon barrel aged stouts that developed a softer character, providing a great base for addition of cacao, cocoa nibs and vanilla beans. So came to be a warming sensation with complex flavour, that well compliments the woody properties given by the barrels. |ABV: 14.5 |IBU: N/A |rating: 4.22",Pivovar ZICHOVEC,Coconut Vanilla Cacao Stout 2021
"beer kind: Stout - Imperial / Double Pastry |description: This year’s experiment is the first time we ever used peanut flour in beer. For this creation we choose some of the smoother stouts from this year’s 18 months aged bourbon barrels, so that the peanut flavour really comes forward. As a companion to peanuts we reached after cocoa nibs, that adds to the complexity of the base stout. Illustrations for our barrels series are made by indie artists, so that the quality of the packaging reflects the quality of the beers. Label artist is David Mazanec. |ABV: 14.5 |IBU: N/A |rating: 4.17",Pivovar ZICHOVEC,Peanut Cacao Stout 2021
"beer kind: Stout - Imperial / Double |description: Coconut Stout se vrací každý rok a každý rok ztělesňuje naší posedlost extrakcí kvalitního kokosu. Pro tento blend dvouletých stoutů vybíráme ty hořčí a drsnější barely, ty jsou pak po přidání obrovské množství praženého kokosu zjemněny a výsledek je tak vyvážený. Etiketu pro Coconut Stout už dělá po třetí Mára Čmára.Coconut Stout returns year after year, embodying our obsession with extracting quality coconut. For this blend of two-year-old stouts, we choose the bitterest and harshest barrels, which are then softened after adding a huge amount of roasted coconut, and the result is thus very balanced. This is the third time Mára Čmára is making the label for Coconut Stout. |ABV: 14.5 |IBU: N/A |rating: 4.16",Pivovar ZICHOVEC,Coconut Stout 2023
beer kind: Stout - Imperial / Double |description: 18 months bourbon barrel aged. Coconut added. |ABV: 14.5 |IBU: N/A |rating: 4.16,Pivovar ZICHOVEC,Stout Coconut – Barrel Project
beer kind: Stout - Imperial / Double Coffee |description: stout aged 18 months in burbon barrels than conditioned on coffee from Doubleshot and maple syrup from canada |ABV: 13.0 |IBU: N/A |rating: 4.16,Pivovar ZICHOVEC,Stout Coffee + Maple Syrup – Barrel Project
"beer kind: Wild Ale - Other |description: Coolshipped and spontaneously fermented beer in an oak barrel for 16 months and aged further on organic local apricots for 12 months. Again, different and unique barrel with distinct and standalone character. In this one I am trying to capture the unique essence of one day into a beer and imprint of local terroir and layering the hand picked apricots from a local orchard. Multiple old varieties of apricots give a really complex expression of the fruit and prolonged aging make for a deep, rich flavour. The backbone of a beer is again built on local organic barley malt and raw organic spelt from the local Hare Krishna community, where they live and function in a low intervention and organic way for the last 3 decades. |ABV: 7.2 |IBU: N/A |rating: 4.13",Métaphore,Here And Now: Apricot
"beer kind: Barleywine - Other |description: Tento blend dvou sudů ječného a dvou sudů pšeničného vína jsme po 30 měsících ve dřevě nablendovali do jednoho tanku a ochutili kokosem, a amarettem tak abychom přiblížili chuť italského dezertu Tiramisu. Fotografii na etiketu nám poskytl jirkovský fotograf Jakub Soukup.This blend of two barrels of barley wine and two barrels of wheat wine was blended into one tank after 30 months in wood and flavored with coconut and amaretto to bring it close to the flavour of the Italian dessert Tiramisu. The photography for the label was provided by Jakub Soukup, a photographer from our town of Jirkov. |ABV: 12.0 |IBU: N/A |rating: 4.13",Pivovar ZICHOVEC,Coconut Tiramisu Barley + Wheat Wine 2024
"beer kind: Stout - Imperial / Double Coffee |description: Po osmnácti měsících ležení jsme vybrali bourbon barely pro blend, do kterého přijde javorový sirup a káva z naší spřátelené pražírny Doubleshot. Výsledný stout je jemný, sladší, s lehkým kávovým aroma. Jasná krbová záležitost, která vás zahřeje ve studených měsících.After 18 months of maturing, we chose specific barrels for a blend that will well encapsulate the addition of maple syrup and coffe from our favorit Prague-based roastery Doubleshot. The resulting stout is sweeter with a mild coffe character. A great fireplace drink to accompany you through the cold winter months. |ABV: 14.5 |IBU: N/A |rating: 4.13",Pivovar ZICHOVEC,Coffee Maple Syrup Stout 2021
"beer kind: Stout - Imperial / Double |description: Hazelnut, Vanilla & Cocoa Imperial Stout, 30° Plato, 11.6% ABV. Vaření Imperial Stoutu je vždycky svým způsobem rituál – začíná se velmi brzy ráno s nekonečným množstvím sladu, pokračuje se bolestivě pomalým procesem scezování a pak dlouhým varem končícím pozdě v noci. Po pečlivém kvašení ho necháváme měsíce ležet v tanku, a když máme pocit, že je dostatečně hladký, přidáme třešničku na dortu. Tou jsou lískové ořechy podpořené špetkou vanilky a kakaa. Stvořili jsme robustní 11% smetanově černý Stout, která chutná jako jemné pralinky z té nejtmavší čokolády. Hořký závěr, žádná laktóza, žádná ulepená sladkost - jen mnoho různých sladů a okultní umění vaření v dokonalé harmonii.Brewing Imperial Stout is always a kind of ritual here - starting early in the morning with mountains of grain, stretching through painfully slow lautering process and endless boil ending late at night. After careful fermentation we lager it for months and when we feel it’s smooth enough, we add the finishing touch. We thought this one might work nicely with some hazelnuts supported with a dose of vanilla and cocoa. What we got is a robust 11% pitch-black brew tasting like fine pralines from the darkest possible chocolate. Bitter finish, no lactose, no cloying sweetness, just 10+ different malts and the occult art of brewing in perfect harmony. |ABV: 11.6 |IBU: N/A |rating: 4.11",Sibeeria Brewery,Dark Ritual
"beer kind: Sour - Smoothie / Pastry |description: Otevíráme novou sérii spoluprací Winter Affair Gossip 2026, kterou jsme odstartovali collabem s rakouským pivovarem Vogelsang – jedním z hostů letošního zichoveckého festivalu Winter Affair. A jak chutná naše první společné pivo? Jako ovocný zážitek v podobě ice cream souru – ale tentokrát úplně bez živočišných složek. Místo klasické laktózy jsme použili veganský zmrzlinový prášek, který dodává pivu krémovost a sladkost, a přitom zůstává plně vhodný i pro ty, kdo se laktóze vyhýbají. Základ tvoří kombinace malin, ostružin a černého rybízu, kterou doplňuje jemně zemitý tón červené řepy. Celý chuťový profil pak uzavírá sladká a aromatická tonka, která dodává kulatost a jemně kořeněný závěr. Výsledkem je pivo, které chutná jako dezert – sladké, kyselé, voňavé, s krásnou barvou a hladkou texturou. Není to pastry sour, ale má podobný efekt: potěší smysly a osladí život. A vegani si ho konečně můžou vychutnat naplno.  |ABV: 5.0 |IBU: N/A |rating: 4.11",Pivovar ZICHOVEC,Winter Affair Gossip: Vogelsang
